663, 26
664, 78
665, 6
666, 4
667, 14
668, 2
669, 1
670, 16
671, 51
672, 2
673, 1
674, 24
675, 23
676, 28
677, 29
678, 18
679, 23
680, 1
681, 14
682, 2
683, 19
684, 1
685, 15
686, 22
687, 29
688, 1
689, 28
690, 32
691, 99
692, 49
693, 39
694, 23
695, 23
696, 15
697, 23
698, 30
699, 8
700, 5
701, 2
702, 1
703, 14
704, 2
705, 18
706, 36
707, 16
708, 1
709, 29
710, 1
711, 19
712, 28
713, 36
714, 55
715, 5
716, 20
717, 17
718, 5
719, 1
720, 18
721, 28
722, 52
723, 29
724, 7
725, 45
726, 2
727, 1
728, 1
729, 23
730, 42
731, 78
732, 16
733, 58
734, 40
735, 1
736, 12
737, 1
738, 35
739, 1
740, 18
741, 15
742, 43
743, 29
744, 62
745, 33
746, 49
747, 27
748, 19
749, 17
750, 2
751, 1
752, 15
753, 23
754, 39
755, 2
756, 1
757, 18
758, 22
759, 15
760, 63
761, 29
762, 56
763, 30
764, 17
765, 2
766, 1
767, 18
768, 24
769, 38
770, 18
771, 12
772, 28
773, 16
774, 21
775, 57
776, 6
777, 16
778, 2
779, 1
780, 18
781, 17
782, 34
783, 33
784, 20
785, 44
786, 16
787, 22
788, 17
789, 53
790, 18
791, 11
792, 14
793, 21
794, 17
795, 25
796, 5
797, 19
798, 40
799, 13
800, 21
801, 27
802, 6
803, 12
804, 2
805, 1
806, 11
807, 27
808, 21
809, 13
810, 2
811, 1
812, 8
813, 16
814, 60
815, 40
816, 1
817, 13
818, 1
819, 12
820, 12
821, 20
822, 24
823, 1
824, 22
825, 1
826, 10
827, 40
828, 2
829, 1
830, 22
831, 1
832, 10
833, 40
834, 2
835, 1
836, 14
837, 1
838, 20
839, 21
840, 11
841, 23
842, 7
843, 14
844, 37
845, 6
846, 2
847, 1
848, 18
849, 21
850, 11
851, 23
852, 7
853, 37
854, 24
855, 19
856, 26
857, 6
858, 2
859, 1
860, 18
861, 21
862, 11
863, 18
864, 7
865, 37
866, 24
867, 19
868, 26
869, 6
870, 2
871, 1
872, 13
873, 21
874, 20
875, 39
876, 13
877, 39
878, 6
879, 2
880, 1
881, 17
882, 17
883, 26
884, 2
885, 39
886, 40
887, 37
888, 37
889, 28
890, 27
891, 27
892, 1
893, 13
894, 1
895, 15
896, 21
897, 39
898, 29
899, 1
900, 27
901, 23
902, 28
903, 20
904, 1
905, 11
906, 26
907, 52
908, 21
909, 10
910, 1
911, 66
912, 21
913, 22
914, 54
915, 26
916, 65
917, 14
918, 56
919, 10
920, 1
921, 26
922, 51
923, 40
924, 33
925, 10
926, 26
927, 6
928, 2
929, 1
930, 19
931, 50
932, 2
933, 40
934, 37
935, 1
936, 37
937, 28
938, 27
939, 35
940, 1
941, 13
942, 13
943, 1
944, 15
945, 23
946, 33
947, 23
948, 1
949, 49
950, 20
951, 1
952, 19
953, 38
954, 15
955, 45
956, 49
957, 8
958, 48
959, 6
960, 1
961, 30
962, 34
963, 34
964, 27
965, 6
966, 22
967, 4
968, 2
969, 1
970, 14
971, 23
972, 25
973, 1
974, 19
975, 20
976, 29
977, 30
978, 34
979, 34
980, 27
981, 6
982, 4
983, 2
984, 1
985, 20
986, 1
987, 13
988, 1
989, 13
990, 22
991, 54
992, 2
993, 1
994, 13
995, 28
996, 27
997, 30
998, 2
999, 34
1000, 40
1001, 37
1002, 46
1003, 30
1004, 29
1005, 29
1006, 48
1007, 54
1008, 1
1009, 13
1010, 1
1011, 20
1012, 21
1013, 71
1014, 33
1015, 5
1016, 23
1017, 28
1018, 1
1019, 9
1020, 33
1021, 21
1022, 24
1023, 45
1024, 26
1025, 65
1026, 14
1027, 56
1028, 43
1029, 10
1030, 9
1031, 29
1032, 26
1033, 24
1034, 50
1035, 17
1036, 33
1037, 23
1038, 50
1039, 29
1040, 55
1041, 60
1042, 32
1043, 56
1044, 14
1045, 10
1046, 17
1047, 2
1048, 1
1049, 14
1050, 45
1051, 51
